time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-13T18:46:07.260Z,7.5491,93.6093,71.38,5,mb,,101,4.168,1.08,us,us1000e47e,2018-08-08T15:21:42.040Z,"56km SE of Mohean, India",earthquake,6.6,5.6,0.068,69,reviewed,us,us
2018-05-13T18:20:56.980Z,7.5435,93.6163,45.23,5.1,mww,,55,4.175,1.13,us,us1000e475,2018-08-08T15:21:42.040Z,"57km SE of Mohean, India",earthquake,6.2,2.3,0.071,19,reviewed,us,us
2018-05-09T03:23:26.710Z,33.1351,70.5177,19.35,5.4,mb,,49,1.863,0.66,us,us1000e15a,2018-08-08T15:19:43.040Z,"18km NNW of Bannu, Pakistan",earthquake,7.3,3.6,0.032,342,reviewed,us,us
2018-05-08T18:17:55.720Z,32.975,68.5817,39.5,4.8,mb,,72,1.608,0.67,us,us1000e0u7,2018-08-08T15:19:37.040Z,"12km SW of Markaz-e Wuluswali-ye Yosuf Khel, Afghanistan",earthquake,7.8,6.3,0.039,205,reviewed,us,us
2018-05-06T13:37:26.520Z,24.6396,96.0213,40.78,4.6,mb,,110,1.62,0.66,us,us1000dzbl,2018-07-27T20:20:28.040Z,"129km WNW of Bhamo, Burma",earthquake,8.5,7.4,0.082,44,reviewed,us,us
2018-05-06T09:23:38.970Z,34.5599,96.5154,18.25,5,mb,,44,6.657,0.65,us,us1000dz95,2018-07-27T20:20:28.040Z,"178km NNW of Gyegu, China",earthquake,6,4.3,0.044,165,reviewed,us,us
2018-05-04T16:37:45.270Z,34.5942,96.5238,10,4.7,mb,,46,6.686,1.17,us,us1000dy0s,2018-07-27T20:20:30.040Z,"182km NNW of Gyegu, China",earthquake,6.3,1.7,0.076,52,reviewed,us,us
2018-05-03T07:58:07.980Z,25.0494,63.1733,10,4.5,mb,,140,4.523,0.95,us,us1000dwih,2018-07-27T20:20:31.040Z,"38km SW of Pasni, Pakistan",earthquake,10.2,1.9,0.082,43,reviewed,us,us
2018-04-29T17:58:57.320Z,21.1341,94.4582,90.5,4.5,mb,,118,1.699,0.9,us,us1000dud8,2018-07-25T21:38:04.040Z,"46km NW of Chauk, Burma",earthquake,8,7.7,0.078,48,reviewed,us,us
2018-04-24T12:23:34.070Z,18.3623,96.1394,10,5.1,mww,,29,1.97,0.78,us,us1000dr8g,2018-07-25T21:36:22.040Z,"33km WSW of Pyu, Burma",earthquake,3.4,1.7,0.089,12,reviewed,us,us
